Company number,Total number of officers,Number of active officers,Number of inactive officers,Number of non-persons officers,Total number of person with significant control,Number of active persons with significant control,Number of ceased persons with significant control,Number of non-persons with significant control,Debt/Equity,Good/Bad
00000118,22,9,13,0,1,1,0,1,0.1,1
00000133,33,4,29,0,1,1,0,1,0.1,1
00000587,17,0,17,0,0,0,0,0,0.1,1
00000899,18,0,18,0,0,0,0,0,0.1,1
00001122,18,3,15,0,1,1,0,1,0.1,1
00001125,36,3,33,0,0,0,0,0,0.1,1
00001955,8,7,1,0,2,2,0,0,0.7718608169440242,0
00002065,103,16,87,0,1,1,0,1,0.1,1
00037101,118,4,114,0,0,0,0,0,0.1,1
00002119,13,4,9,0,0,0,0,0,0.1,1
00037822,54,15,39,0,0,0,0,0,0.1,1
00002694,26,3,23,0,1,1,0,1,0.1,1
00038252,106,8,98,0,1,1,0,0,0.1,0
00002729,29,4,25,0,1,1,0,1,0.1,1
00038357,15,6,9,0,2,1,1,0,29.275407292474785,0
00002854,23,0,23,0,1,1,0,2,0.1,1
06073803,6,0,6,0,0,0,0,0,0.1,1
00038597,0,0,0,0,0,0,0,0,0.1,0
00002877,30,3,27,0,1,1,0,1,0.1,1
06073955,5,2,3,0,1,1,0,0,4.548652135533374,1
00038769,136,12,124,0,0,0,0,0,0.1,1
00003002,58,6,52,0,1,1,0,1,0.1,1
06073962,26,5,21,0,0,0,0,0,0.1,1
00038839,10,3,7,0,1,1,0,0,16.73551263001486,0
00003543,37,1,36,0,1,1,0,1,0.1,1
06073971,6,1,5,0,1,1,0,0,8.589141665911356,1
00039100,22,4,18,0,3,3,0,0,0.047184669904186904,0
00004273,21,3,18,0,1,1,0,1,0.1,1
06074004,4,2,2,0,2,2,0,0,-1.3323699421965318,1
00039345,13,2,11,0,1,1,0,1,0.1,1
03883677,15,5,10,0,2,2,0,0,0.0,0
00004302,177,27,150,0,0,0,0,0,0.1,1
06074479,8,5,3,0,0,0,0,0,0.0,1
00039494,25,5,20,0,1,1,0,1,0.1,1
03883776,7,5,2,0,1,1,0,0,1233.14,1
00004466,109,9,100,0,0,0,0,0,0.1,1
06074667,4,1,3,0,2,2,0,0,1.51748158070998,1
03883907,3,3,0,0,3,1,2,0,0.7708260105448155,1
00039625,94,10,84,0,0,0,0,0,0.1,1
06074684,3,1,2,0,1,1,0,0,-3.116575591985428,0
00039811,17,7,10,0,0,0,0,0,0.1,1
03884383,36,3,33,0,1,1,0,0,0.0,1
00004474,3,0,3,0,0,0,0,0,0.012088091504757915,1
00040004,80,15,65,0,0,0,0,0,0.1,1
06074686,7,0,7,0,0,0,0,0,0.0,1
03884659,36,10,26,0,0,0,0,0,0.1,0
00005017,124,22,102,0,0,0,0,0,20.012649332396347,1
00040056,103,27,76,0,0,0,0,0,0.08025732337736932,1
03884685,79,13,66,0,0,0,0,0,0.1,1
06075060,6,3,3,0,2,2,0,0,8.017158047365877,1
00005034,105,19,86,0,0,0,0,0,0.1,1
00040088,29,5,24,0,0,0,0,0,0.1,1
03884737,5,3,2,0,1,1,0,0,3170252.0,0
06075780,6,2,4,0,1,1,0,0,142.30233667143537,1
00005193,47,8,39,0,0,0,0,0,0.2844981325078233,0
00040149,27,3,24,0,1,1,0,1,0.1,1
03884759,5,2,3,0,0,0,0,0,0.1,1
06075843,2,2,0,0,1,1,0,0,0.10420868629823854,1
00005263,3,1,2,0,1,1,0,0,0.0,0
03884779,10,1,9,0,0,0,0,0,0.0,1
00040209,25,4,21,0,1,1,0,1,0.1,1
06076014,4,2,2,0,2,2,0,0,-0.003479331188456664,1
00005506,39,7,32,0,0,0,0,0,0.1,0
03884933,8,4,4,0,1,1,0,0,0.1,1
06076177,7,3,4,0,2,2,0,0,-1.6317329203235245,1
00040561,78,14,64,0,0,0,0,0,0.1,1
00006252,18,3,15,0,1,1,0,1,0.1,1
03884981,26,2,24,0,1,1,0,1,0.1,1
00040583,19,2,17,0,1,1,0,1,0.1,1
06076187,5,0,5,0,0,0,0,0,4.471125730994152,1
00006400,71,12,59,0,1,1,0,0,0.1,1
03908511,6,3,3,0,2,2,0,0,0.0,1
03885013,31,5,26,0,1,1,0,0,0.1,1
00040594,105,0,105,0,0,0,0,0,0.1,1
06076188,5,3,2,0,2,2,0,0,-96.67673992673993,1
00006662,33,2,31,0,0,0,0,0,0.1,1
03908675,29,7,22,0,0,0,0,0,0.1,1
03885293,3,1,2,0,2,2,0,0,732.5,0
00040901,43,2,41,0,1,1,0,1,0.1,1
06076220,7,2,5,0,1,1,0,1,0.1,1
00007663,79,22,57,0,0,0,0,0,0.1,1
08837062,3,2,1,0,1,1,0,1,0.1,1
03908823,14,4,10,0,1,1,0,1,0.1,1
03885397,7,0,7,0,0,0,0,0,0.1,1
00040932,35,11,24,0,0,0,0,0,0.1,1
00008848,378,8,370,0,0,0,0,0,0.1,1
06076697,4,2,2,0,1,1,0,0,4853.0,1
08837119,1,1,0,0,1,1,0,0,7.04,0
03908899,7,3,4,0,2,2,0,0,1919.0,0
00040987,20,6,14,0,0,0,0,0,0.0,0
03885516,5,1,4,0,1,1,0,0,0.0,1
05073674,4,0,4,0,3,3,0,0,0.1,0
06076701,5,3,2,0,1,1,0,0,461.85,1
00008894,107,17,90,0,0,0,0,0,0.1,1
05100794,22,0,22,0,0,0,0,0,0.1,1
02502427,31,8,23,0,0,0,0,0,0.1,1
02535994,36,24,12,0,3,2,1,0,0.1,1
08837295,10,0,10,0,0,0,0,0,0.1,0
03429561,18,2,16,0,1,1,0,1,0.1,1
03908922,7,2,5,0,1,1,0,1,0.1,1
05073733,9,4,5,0,1,1,0,1,0.0,1
00041424,69,14,55,0,0,0,0,0,0.1,1
03885555,13,2,11,0,0,0,0,0,148.23262239956537,1
06076899,7,5,2,0,4,4,0,0,307024.25,1
00009330,150,17,133,0,0,0,0,0,0.1,1
05100810,17,4,13,0,1,1,0,1,0.1,0
06769064,2,2,0,0,1,1,0,0,0.0,1
06726996,4,0,4,0,2,2,0,0,0.0,1
02536018,3,3,0,0,1,1,0,1,0.0,0
02502472,13,3,10,0,1,1,0,0,0.1,1
03429596,8,5,3,0,2,1,1,1,0.1,1
08837337,1,1,0,0,2,1,1,0,70.36,0
03908975,50,10,40,0,0,0,0,0,0.1,1
05073766,20,2,18,0,0,0,0,0,0.1,0
04393926,6,2,4,0,1,1,0,0,0.1,1
00041482,39,10,29,0,0,0,0,0,0.0,1
01615593,19,6,13,0,0,0,0,0,0.1,1
03885593,37,10,27,0,0,0,0,0,0.1,1
06076995,12,3,9,0,0,0,0,0,0.0,1
00009592,15,6,9,0,1,1,0,0,0.1,1
05101064,9,3,6,0,1,1,0,1,0.1,1
06727432,6,2,4,0,1,1,0,0,0.1,1
06769083,4,3,1,0,1,1,0,0,7349.7375,0
02536085,13,1,12,0,1,1,0,1,0.1,1
02502511,95,12,83,0,0,0,0,0,0.1,1
03429608,26,9,17,0,1,1,0,0,1.784834123222749,1
00748865,94,14,80,0,2,0,2,0,0.1,1
08837387,2,1,1,0,1,1,0,0,6.783983140147524,0
05073811,4,1,3,0,1,1,0,0,1.005872680291285,0
03909177,7,5,2,0,2,2,0,0,151.98139388205612,1
00041495,50,9,41,0,1,1,0,1,0.1,1
04394122,4,3,1,0,2,2,0,0,53282.0,0
01615990,61,12,49,0,0,0,0,0,0.1,1
03885621,5,2,3,0,1,1,0,0,0.1,0
05101737,6,0,6,0,0,0,0,0,0.1,1
06076999,9,3,6,0,1,1,0,0,0.0002994268415628326,1
00009635,147,11,136,0,0,0,0,0,0.1,1
06769237,7,4,3,0,0,0,0,0,0.1,1
06727738,13,4,9,0,2,2,0,2,0.1,1
00798460,10,3,7,0,1,1,0,1,61.26113333333333,0
03429786,7,0,7,0,2,2,0,0,0.1,1
02536345,35,3,32,0,1,1,0,1,0.1,1
02502837,14,3,11,0,0,0,0,0,0.0,1
08837501,2,2,0,0,2,2,0,0,0.0,0
05073911,4,0,4,0,0,0,0,0,0.1,1
03909257,31,2,29,0,0,0,0,0,0.1,1
00749110,6,2,4,0,3,3,0,0,1431451.0,0
00042000,43,3,40,0,1,1,0,1,0.1,1
04394388,6,0,6,0,0,0,0,0,0.1,1
01616261,0,0,0,0,0,0,0,0,0.1,0
03885838,20,4,16,0,0,0,0,0,0.0,0
06769239,7,2,5,0,0,0,0,0,0.1,1
06077003,12,3,9,0,1,1,0,1,446.3666666666667,1
05101887,3,3,0,0,2,2,0,0,12.989554700384828,0
06728774,2,1,1,0,1,1,0,0,0.1,0
00009806,120,19,101,0,3,1,2,0,0.1,1
11111676,1,0,1,0,1,1,0,0,0.1,0
00798958,26,0,26,0,1,1,0,1,0.1,1
03429905,18,5,13,0,2,1,1,1,0.0,1
02502960,33,3,30,0,1,1,0,1,0.1,1
02536498,33,0,33,0,0,0,0,0,0.1,1
11151301,3,1,2,0,3,1,2,0,0.1,0
03909395,46,10,36,0,2,2,0,2,0.1,1
05073933,9,0,9,0,0,0,0,0,0.1,1
00749112,10,4,6,0,4,4,0,1,0.1,1
00042297,35,5,30,0,5,3,2,0,0.0,0
08837699,3,3,0,0,1,1,0,0,12403.1,0
01616494,9,3,6,0,1,1,0,0,856209.0,1
04394408,11,2,9,0,1,1,0,1,0.1,1
05722050,5,2,3,0,1,1,0,0,2.802601377199694,0
03885898,20,7,13,0,1,1,0,1,0.1,0
06769448,2,1,1,0,1,1,0,0,3.6935323383084575,0
06729401,10,3,7,0,1,1,0,1,0.0,1
06077024,6,2,4,0,2,2,0,0,1.823809348138857,1
00009844,139,4,135,0,0,0,0,0,78.33666666666667,1
05101939,16,6,10,0,1,1,0,1,7.517051536711329,1
11111772,3,2,1,0,1,1,0,1,0.1,0
05074305,9,0,9,0,0,0,0,0,0.1,1
00799179,0,0,0,0,0,0,0,0,0.1,0
00749317,33,4,29,0,1,1,0,1,0.1,1
02502976,45,9,36,0,0,0,0,0,0.1,1
03909522,13,4,9,0,2,2,0,0,1.0240025948751217,1
03430002,12,0,12,0,3,3,0,0,0.1,1
05757208,66,26,40,0,1,1,0,1,0.1,1
00042342,50,5,45,0,1,1,0,1,0.1,1
11151329,2,2,0,0,2,2,0,0,0.1,0
SC088127,9,4,5,0,2,2,0,2,0.1,0
02537089,29,5,24,0,1,1,0,1,0.1,1
04394435,58,0,58,0,0,0,0,0,0.1,1
01617370,29,0,29,0,0,0,0,0,0.1,1
08838394,2,2,0,0,1,1,0,0,47621.0,0
02933031,58,0,58,0,0,0,0,0,0.1,1
03886084,12,3,9,0,1,1,0,1,0.1,1
05722136,4,1,3,0,2,2,0,0,0.0,1
06769484,4,2,2,0,0,0,0,0,0.1,0
06729420,28,9,19,0,0,0,0,0,0.1,1
06077217,4,2,2,0,1,1,0,0,8842.0,1
00010340,112,14,98,0,0,0,0,0,0.1,1
11111912,8,5,3,0,2,1,1,2,0.1,1
05102060,4,3,1,0,1,1,0,0,775.94,0
00799263,23,0,23,0,1,1,0,1,0.1,1
03430071,42,5,37,0,1,1,0,1,0.1,1
05757422,16,4,12,0,1,1,0,1,0.1,1
05074544,28,11,17,0,0,0,0,0,0.0,1
11151459,9,9,0,0,0,0,0,0,0.1,1
00749504,77,11,66,0,0,0,0,0,0.1,1
00043026,25,1,24,0,1,1,0,1,0.1,1
SC088361,71,12,59,0,0,0,0,0,0.1,1
02503054,80,3,77,0,1,1,0,1,0.1,1
04394889,12,0,12,0,0,0,0,0,0.1,1
03909629,20,3,17,0,2,2,0,0,0.0,1
02958820,33,7,26,0,0,0,0,0,0.0,1
02537092,50,6,44,0,1,1,0,1,0.1,1
07809547,3,1,2,0,1,1,0,0,3.35946194009528,0
01617653,22,0,22,0,0,0,0,0,0.1,1
02933171,13,4,9,0,0,0,0,0,0.0,1
08839155,1,1,0,0,1,1,0,0,326.2,0
02120126,39,4,35,0,1,1,0,1,0.1,1
03886106,7,4,3,0,0,0,0,0,0.1,0
11112021,1,1,0,0,1,1,0,0,0.1,0
06077223,18,4,14,0,1,1,0,1,0.1,1
06729689,3,1,2,0,1,1,0,0,114.225,0
05722435,21,7,14,0,1,1,0,1,0.1,1
06769553,5,2,3,0,1,1,0,0,9.853260869565217,1
05102503,23,8,15,0,0,0,0,0,0.1,1
00010416,8,5,3,0,2,2,0,0,31.4054,0
02154818,6,4,2,0,1,1,0,0,0.1,1
06428444,4,2,2,0,1,1,0,0,-0.3746953077391834,1
00799297,79,12,67,0,0,0,0,0,0.1,1
03430194,13,2,11,0,1,1,0,1,0.1,1
05757423,12,4,8,0,1,1,0,1,0.1,0
11151713,5,4,1,0,2,2,0,0,0.1,1
05074950,13,0,13,0,0,0,0,0,0.1,1
04124749,10,0,10,0,2,2,0,2,0.1,1
00043649,8,4,4,0,1,1,0,1,0.1,0
SC088674,47,0,47,0,1,1,0,1,0.1,1
00749645,63,6,57,0,0,0,0,0,0.14771381189291638,1
02503062,15,4,11,0,2,1,1,2,0.1,1
09815017,6,3,3,0,2,1,1,1,0.0,1
04677863,4,0,4,0,1,1,0,0,24243.5,0
04394890,7,0,7,0,0,0,0,0,-1.0,1
09770083,3,3,0,0,0,0,0,0,0.0,0
02537419,25,0,25,0,0,0,0,0,0.1,1
02958846,4,3,1,0,1,1,0,0,0.0898205035537887,1
03909720,25,3,22,0,1,1,0,1,0.1,1
04708641,5,0,5,0,0,0,0,0,0.1,1
07809595,6,3,3,0,0,0,0,0,493.3809523809524,0
01617719,20,7,13,0,2,2,0,0,0.1,1
02933258,7,2,5,0,0,0,0,0,4.400006277069863,1
08839321,2,2,0,0,2,2,0,0,2.124523506988564,1
03703097,25,3,22,0,2,1,1,2,0.1,1
02120177,24,0,24,0,0,0,0,0,0.1,1
03732253,23,6,17,0,0,0,0,0,0.1,1
03190619,27,3,24,0,0,0,0,0,0.1,0
11112048,6,2,4,0,2,1,1,2,0.1,0
03886194,17,0,17,0,0,0,0,0,0.1,1
06077377,4,1,3,0,1,1,0,0,2404471.0,1
05722771,11,0,11,0,0,0,0,0,-1.0,1
06730004,4,2,2,0,1,1,0,0,-3.2193222941111963,1
04370389,98,0,98,0,0,0,0,0,0.1,1
05102843,8,3,5,0,2,2,0,0,0.0,1
02757039,35,0,35,0,0,0,0,0,0.1,1
02154841,61,3,58,0,1,1,0,1,0.1,1
06428534,27,3,24,0,1,1,0,1,0.1,1
00010553,33,8,25,0,0,0,0,0,0.1,0
00799369,51,0,51,0,0,0,0,0,0.1,1
02783524,14,0,14,0,0,0,0,0,0.1,1
03430288,24,5,19,0,1,1,0,1,0.1,1
11151726,2,2,0,0,2,2,0,0,0.1,0
04124758,10,0,10,0,2,2,0,2,0.1,1
05075081,4,3,1,0,1,1,0,0,0.0,0
NI042566,3,3,0,0,0,0,0,0,0.1,0
05757471,5,4,1,0,1,1,0,1,60512.0198019802,1
SC089404,8,6,2,0,2,2,0,0,138.08666666666667,1
00749646,6,3,3,0,1,1,0,0,0.11093748204662707,0
00043885,9,5,4,0,0,0,0,0,0.0,0
09815202,6,4,2,0,4,4,0,0,0.013034175155204629,0
09770355,5,5,0,0,1,1,0,1,0.0,0
02503139,14,4,10,0,3,3,0,0,0.0,0
04677925,8,2,6,0,1,1,0,0,6928.43,1
03909772,14,0,14,0,0,0,0,0,0.1,1
02537830,6,0,6,0,1,1,0,0,0.0,1
02959076,22,3,19,0,1,1,0,1,0.1,1
05372217,35,7,28,0,1,1,0,1,0.1,1
04394953,15,5,10,0,0,0,0,0,0.1,0
07809756,4,3,1,0,1,1,0,0,0.1,1
01618226,12,5,7,0,2,1,1,1,0.1,1
04708856,6,1,5,0,1,1,0,0,1.2495277470862887,0
02933319,12,5,7,0,3,3,0,0,0.1,1
05400512,8,3,5,0,2,1,1,0,0.15334728892172556,0
08839834,1,1,0,0,1,1,0,0,0.0,0
03703182,22,7,15,0,1,1,0,1,0.1,1
07172034,1,1,0,0,1,1,0,0,416062.0,0
02120687,3,3,0,0,2,2,0,0,0.0,0
03732285,6,2,4,0,1,1,0,0,9588.163636363637,1
07208581,4,2,2,0,1,1,0,0,0.0,0
03191152,15,3,12,1,2,2,0,2,0.1,1
11112272,2,2,0,0,1,1,0,1,0.1,1
07255704,11,7,4,0,0,0,0,0,0.1,1
03886236,40,14,26,0,0,0,0,0,0.0,0
06002138,19,7,12,0,0,0,0,0,0.1,1
06077574,6,2,4,0,1,1,0,0,0.0,0
05722879,4,2,2,0,1,1,0,0,0.0,0
04370521,30,14,16,0,0,0,0,0,0.1,1
06730103,2,2,0,0,1,1,0,0,0.43565628107391446,0
05102899,8,0,8,0,0,0,0,0,0.0,1
02155355,21,3,18,0,1,1,0,1,0.1,1
02757055,40,11,29,0,0,0,0,0,0.1,1
06428537,10,0,10,0,1,1,0,1,10914.0,1
06028127,5,3,2,0,1,1,0,0,0.0,1
00800311,31,5,26,0,1,1,0,1,0.1,1
02783745,15,0,15,0,1,1,0,1,0.1,1
03430299,30,4,26,0,0,0,0,0,0.1,1
00010631,50,14,36,0,0,0,0,0,0.1,1
11151745,3,2,1,0,1,1,0,0,0.1,0
04124777,21,0,21,0,0,0,0,0,0.1,1
05075088,26,3,23,0,3,3,0,0,0.1,1
NI042574,8,3,5,0,2,2,0,0,5.5751380864707,1
05757493,11,6,5,0,0,0,0,0,0.1,1
00750110,13,3,10,0,1,1,0,1,0.1,0
09815232,2,2,0,0,2,2,0,0,215.43,0
00043893,40,12,28,0,0,0,0,0,0.21382866965905836,1
04677951,5,3,2,0,2,2,0,0,14.540686274509804,0
09770360,5,5,0,0,1,1,0,1,0.0,0
02503153,10,0,10,0,0,0,0,0,-1.0,1
SC089417,9,0,9,0,0,0,0,0,0.1,1
02538220,14,3,11,0,1,1,0,1,0.1,1
05372330,10,5,5,0,1,1,0,0,0.1,0
04395109,23,5,18,0,1,1,0,1,0.1,1
08800236,3,1,2,0,2,1,1,0,6.148679491359635,0
07809772,3,2,1,0,2,2,0,0,13771.5,0
04708868,6,3,3,0,3,3,0,0,2718.4757281553398,0
02959240,12,4,8,0,1,1,0,0,60.3035,1
01618279,13,3,10,0,1,1,0,1,0.0,1
05400811,6,2,4,0,1,1,0,0,2.34829279433596,0
02933588,9,3,6,0,2,2,0,0,244.24,1
03703240,29,0,29,0,1,1,0,1,0.1,1
08839858,3,3,0,0,3,3,0,0,11.587761674718196,0
01161446,181,7,174,0,1,1,0,1,0.1,1
03732513,28,4,24,0,1,1,0,1,0.1,1
07208651,14,4,10,0,1,1,0,1,0.1,1
02120855,29,0,29,0,0,0,0,0,0.1,1
07172136,4,2,2,0,3,3,0,0,155.02970297029702,0
03191370,26,6,20,0,1,1,0,1,0.1,1
07255735,2,0,2,0,0,0,0,0,0.1,1
11112754,1,1,0,0,1,1,0,0,0.1,0
03886253,29,5,24,0,1,1,0,1,0.1,1
06002143,24,7,17,0,1,1,0,1,0.1,1
05722926,8,2,6,0,2,2,0,0,17722.0,1
06077747,4,4,0,0,4,3,1,0,1.3523825559858562,0
04370935,7,4,3,0,1,1,0,0,0.1,1
06730464,7,2,5,0,3,1,2,1,643.26,1
11724111,2,2,0,0,2,2,0,0,0.1,0
05102934,36,16,20,0,1,1,0,0,0.1,1
02757062,59,13,46,0,1,1,0,1,0.1,1
02155484,5,3,2,0,1,1,0,0,1.2416536254564423,0
06428565,3,2,1,0,1,1,0,0,32.5078,1
06028128,9,4,5,0,1,1,0,1,0.1,1
06226719,47,6,41,0,1,1,0,1,0.1,0
00800818,31,0,31,0,0,0,0,0,0.1,1
03430418,27,5,22,0,2,2,0,2,0.1,1
06259820,24,4,20,0,0,0,0,0,0.1,1
02783747,14,3,11,0,2,1,1,0,0.0,1
00387888,9,3,6,0,1,1,0,1,0.1,1
00010747,23,5,18,0,8,8,0,0,0.1,0
11151879,1,1,0,0,1,1,0,0,0.1,0
CE013874,0,0,0,0,0,0,0,0,0.1,0
00432014,31,5,26,0,1,1,0,1,0.1,1
04124813,7,4,3,0,1,1,0,0,127.95181123296776,1
05075130,6,2,4,0,2,2,0,0,1.4930046635576282,0
NI042658,9,0,9,0,0,0,0,0,0.1,0
05757621,42,13,29,0,0,0,0,0,0.1,0
10453654,2,2,0,0,1,1,0,0,0.0,0
10495701,2,2,0,0,2,2,0,0,0.0,0
00044452,15,3,12,0,0,0,0,0,0.1,1
00750921,8,2,6,0,1,1,0,1,0.1,0
SC089706,21,3,18,0,1,1,0,1,0.1,1
04677961,9,5,4,0,0,0,0,0,0.1,1
09815605,2,2,0,0,2,2,0,0,0.9045030138281527,1
09770814,2,2,0,0,1,1,0,0,1.896888063167673,0
02503394,4,3,1,0,1,1,0,0,30.698,0
02538254,53,0,53,0,0,0,0,0,0.1,1
05372378,36,11,25,0,0,0,0,0,0.1,1
04395402,5,0,5,0,0,0,0,0,0.1,1
07810330,14,5,9,0,1,1,0,0,0.1,1
10534768,2,2,0,0,2,2,0,0,0.0,1
08800259,3,1,2,0,2,1,1,0,0.0,0
01618548,12,3,9,0,0,0,0,0,0.1,1
04708897,5,2,3,0,2,2,0,0,0.4020024687971472,0
05400854,29,6,23,1,1,1,0,1,0.1,1
02933627,12,4,8,0,1,1,0,1,0.1,0
02959317,5,3,2,0,1,1,0,0,0.3065868212582557,0
08839877,1,1,0,0,1,1,0,0,0.0,0
03703370,11,4,7,0,3,3,0,0,653.3583333333333,1
03732607,22,0,22,0,0,0,0,0,0.1,1
07172355,4,0,4,0,0,0,0,0,0.1,1
07208888,10,0,10,0,1,1,0,1,0.1,1
01161649,12,5,7,0,2,2,0,0,0.1,1
02121909,6,0,6,0,0,0,0,0,0.1,0
11112823,1,1,0,0,2,2,0,1,0.1,0
07255865,3,2,1,0,2,2,0,0,299.49,1
09402690,2,0,2,0,0,0,0,0,0.1,1
03191538,20,4,16,0,1,1,0,1,0.1,1
03886321,8,4,4,0,1,1,0,0,0.0,1
06077784,4,2,2,0,3,3,0,0,12040.666666666666,1
06002148,26,6,20,0,1,1,0,1,0.1,1
11724607,1,1,0,0,1,1,0,0,0.1,0
05722976,8,5,3,0,1,1,0,1,0.1,1
06730545,21,2,19,0,1,1,0,1,0.1,1
04371091,5,2,3,0,1,1,0,0,272277.0,1
02757614,7,3,4,0,1,1,0,0,59142.0,0
05102960,11,2,9,0,3,3,0,3,0.6205691462805791,0
02155691,3,3,0,0,2,2,0,0,0.2937278106508876,0
06028364,14,3,11,0,1,1,0,1,0.0,1
06428748,6,2,4,0,3,1,2,3,220544.0,0
06226749,22,11,11,0,0,0,0,0,0.1,1
03430458,41,0,41,0,1,1,0,1,0.1,1
00800819,8,0,8,0,0,0,0,0,0.1,0
02784097,7,2,5,0,2,2,0,0,0.1,0
06259882,10,5,5,0,10,10,0,0,0.0030374411108356064,0
11151881,1,1,0,0,1,1,0,0,0.1,0
00388123,13,3,10,0,1,1,0,0,1.801610305958132,1
CE013888,0,0,0,0,0,0,0,0,0.1,0
00432447,8,4,4,0,3,3,0,0,162.14333333333335,0
00011136,39,0,39,0,0,0,0,0,0.1,1
04125139,46,9,37,0,0,0,0,0,0.1,1
05757679,6,1,5,0,1,1,0,0,0.38508525184113024,0
05075209,2,2,0,0,1,1,0,0,94.55,0
NI042767,8,5,3,0,0,0,0,0,0.0,0
10453822,3,3,0,0,1,1,0,1,0.0,1
10496128,2,2,0,0,2,2,0,0,0.0,0
00045690,39,3,36,0,1,1,0,1,0.1,1
00750978,7,4,3,0,2,2,0,0,0.1,1
SC089892,131,13,118,0,0,0,0,0,0.1,1
04678161,19,7,12,0,0,0,0,0,0.1,1
09770996,1,0,1,0,1,1,0,0,0.1,0
09816333,6,3,3,0,2,1,1,0,-2.5082644628099175,0
02538382,19,3,16,0,1,1,0,1,0.1,1
02503744,29,9,20,0,1,1,0,1,0.1,1
08291888,3,3,0,0,3,3,0,0,0.022313127556712532,0
05372438,4,2,2,0,1,1,0,0,483.32,1
04395472,24,3,21,0,1,1,0,1,0.1,1
08326163,2,2,0,0,1,1,0,0,2.1933951057258256,0
10534787,3,3,0,0,2,2,0,0,137.479020979021,0
08800341,3,0,3,0,2,2,0,0,-0.7491219267436026,0
07810624,2,0,2,0,0,0,0,0,0.1,1
05400865,15,0,15,0,0,0,0,0,0.0,1
04708929,5,0,5,0,0,0,0,0,0.1,1
02959484,9,3,6,0,0,0,0,0,0.1,1
02933711,3,2,1,0,1,1,0,0,-1.1079380030827197,1
01618610,82,14,68,0,0,0,0,0,0.1,1
08839944,4,1,3,0,1,1,0,0,0.48377862595419846,1
10816474,2,2,0,0,1,1,0,0,0.0,0
03703643,28,0,28,0,0,0,0,0,0.1,1
03732835,13,5,8,0,1,1,0,0,0.1,1
07209057,7,0,7,0,0,0,0,0,0.1,1
02121927,23,5,18,0,1,1,0,1,0.1,1
09038912,6,5,1,0,1,1,0,1,0.1,0
01161935,9,3,6,0,1,1,0,0,0.12638387859186467,1
11724894,1,0,1,0,1,0,1,0,0.1,0
11112857,4,2,2,0,3,2,1,1,0.1,1
07173090,19,5,14,0,0,0,0,0,0.05476708750544188,0
07255929,7,2,5,0,1,1,0,1,0.0,1
06002154,24,6,18,0,1,1,0,1,0.1,1
09402726,4,2,2,0,2,2,0,0,272.28,0
05723743,22,7,15,0,2,1,1,1,0.1,1
06077852,8,4,4,0,3,3,0,0,4.229175848391362,0
03191639,22,5,17,0,1,1,0,1,0.7724296132787986,1
03886503,32,15,17,0,0,0,0,0,0.1,1
04371133,24,9,15,0,1,1,0,0,0.5181300941984556,1
02757622,6,2,4,0,1,1,0,0,380.6793893129771,0
06730869,8,4,4,0,2,2,0,2,0.0,1
05103076,3,2,1,0,1,1,0,0,71780.0,0
09071662,3,1,2,0,1,1,0,0,158556.0,1
06487663,16,3,13,0,1,1,0,1,0.1,1
02155712,22,0,22,0,0,0,0,0,0.1,1
06028419,3,3,0,0,2,2,0,0,844.53,0
01878022,14,4,10,0,1,1,0,1,0.1,1
06428869,2,2,0,0,1,1,0,0,0.1,0
01919620,12,0,12,0,0,0,0,0,0.1,1
06226775,17,0,17,0,0,0,0,0,0.1,1
11422963,2,2,0,0,1,1,0,1,0.0,0
00800824,7,2,5,0,1,1,0,1,0.1,0
02784232,7,0,7,0,2,2,0,0,0.1,1
11151893,1,1,0,0,1,1,0,0,0.1,0
03430866,5,2,3,0,2,2,0,0,0.0,1
11464804,1,1,0,0,1,1,0,0,0.1,0
00388135,35,3,32,0,1,1,0,1,0.1,1
06260053,27,8,19,0,1,1,0,1,0.1,1
00432511,62,13,49,0,0,0,0,0,0.1,1
CE013893,0,0,0,0,0,0,0,0,0.1,0
00011701,53,8,45,0,0,0,0,0,0.1,1
04125287,7,0,7,0,0,0,0,0,0.0,1
05757852,6,3,3,0,2,2,0,0,4.292131474103586,0
07556579,3,3,0,0,1,1,0,0,0.0,1
NI042774,2,2,0,0,1,1,0,0,0.0,0
05075236,7,3,4,0,2,2,0,0,4662.9,1
07517968,7,6,1,0,0,0,0,0,0.05330275229357798,0
10454078,1,1,0,0,1,1,0,0,0.0,0
08023015,1,0,1,0,0,0,0,0,-1.0000479286821211,0
00045867,164,29,135,0,0,0,0,0,0.1,1
10496308,1,1,0,0,1,1,0,0,9.419607843137255,0
SC089895,14,0,14,0,0,0,0,0,0.1,1
00751061,27,3,24,0,1,1,0,1,0.1,1
09816334,8,3,5,0,1,1,0,1,0.1,1
04678356,4,2,2,0,2,2,0,0,6.001,0
02538510,48,5,43,0,1,1,0,1,0.1,1
09771349,5,2,3,0,2,0,2,0,1.6510307273434461,0
06960923,4,3,1,0,1,1,0,0,0.9913130638155697,0
02503801,38,8,30,0,0,0,0,0,0.1,0
07006005,3,3,0,0,1,1,0,0,904.34,1
08291966,2,0,2,0,0,0,0,0,0.1,1
08597784,17,10,7,0,0,0,0,0,0.1,0
08552573,12,7,5,0,2,1,1,0,0.05017957306000565,0
04395486,15,3,12,0,1,1,0,1,0.0,1
