Company number,Total number of officers,Number of active officers,Number of inactive officers,Number of non-persons officers,Total number of person with significant control,Number of active persons with significant control,Number of ceased persons with significant control,Number of non-persons with significant control,Good/Bad
00137013,53,11,42,0,0,0,0,0,1
00138006,21,4,17,0,1,1,0,1,1
00143439,20,4,16,0,1,1,0,0,1
00143447,213,2,211,0,1,1,0,1,1
00144888,58,7,51,0,0,0,0,0,1
00145205,30,5,25,0,1,1,0,1,1
00145670,17,4,13,0,0,0,0,0,0
00148449,61,14,47,0,0,0,0,0,1
00152298,49,5,44,0,2,1,1,2,1
00152477,24,2,22,0,1,1,0,1,1
00153026,19,10,9,0,0,0,0,0,1
00155374,45,6,39,0,1,1,0,1,1
00156261,15,5,10,0,1,1,0,1,0
00156641,39,3,36,0,1,1,0,1,1
00157426,11,4,7,0,1,1,0,0,0
00159926,38,3,35,0,1,1,0,1,1
00160881,19,3,16,0,1,1,0,1,1
00161312,93,5,88,0,0,0,0,0,0
00162457,10,3,7,0,0,0,0,0,1
00164213,22,3,19,0,0,0,0,0,1
00165381,31,4,27,0,0,0,0,0,0
00167370,32,5,27,0,1,1,0,1,1
00167604,30,8,22,0,0,0,0,0,0
00167635,39,5,34,0,1,1,0,0,1
00168127,16,0,16,0,0,0,0,0,1
00169090,16,2,14,0,1,1,0,1,1
00170887,42,8,34,0,7,7,0,0,1
00170944,96,12,84,0,0,0,0,0,1
00171402,143,14,129,0,0,0,0,0,1
00173178,20,2,18,0,0,0,0,0,0
00173485,45,3,42,0,0,0,0,0,1
00176204,70,7,63,0,0,0,0,0,0
00176333,53,5,48,0,1,1,0,0,0
00176420,50,6,44,0,0,0,0,0,0
00176992,30,10,20,0,1,1,0,1,1
00177433,26,0,26,0,0,0,0,0,1
00180516,16,6,10,0,0,0,0,0,1
00181866,196,5,191,0,1,1,0,1,1
00185691,33,5,28,0,1,1,0,1,1
00185931,44,6,38,0,0,0,0,0,0
00187153,34,0,34,0,0,0,0,0,1
00188598,41,4,37,0,1,1,0,1,1
00190626,13,6,7,0,0,0,0,0,0
00190717,28,3,25,0,1,1,0,1,1
00191201,16,3,13,0,0,0,0,0,0
00192460,55,4,51,0,1,1,0,1,1
00192795,33,4,29,0,1,1,0,1,1
00195581,20,3,17,0,1,1,0,1,1
00195732,24,5,19,0,5,2,3,0,1
