Company number,Total number of officers,Number of active officers,Number of inactive officers,Number of non-persons officers,Total number of person with significant control,Number of active persons with significant control,Number of ceased persons with significant control,Number of non-persons with significant control,Good/Bad
04423718,11,3,8,0,1,1,0,1,1
04423967,13,4,9,0,0,0,0,0,1
04424125,11,2,9,0,1,1,0,1,0
04425595,14,3,11,0,1,1,0,1,1
04425892,7,3,4,0,1,1,0,1,1
04426579,5,3,2,0,3,3,0,0,0
04428083,16,3,13,0,1,1,0,1,1
04429098,6,4,2,0,2,2,0,0,0
04429814,42,9,33,0,0,0,0,0,1
04429933,10,5,5,0,1,1,0,0,1
04430818,22,3,19,0,1,1,0,1,1
04430824,21,3,18,0,1,1,0,1,1
04430828,21,3,18,0,1,1,0,1,1
04430846,19,3,16,0,1,1,0,1,1
04430927,19,3,16,0,1,1,0,1,1
04431396,4,0,4,0,1,1,0,0,0
04432581,15,6,9,0,0,0,0,0,0
04434601,12,0,12,0,0,0,0,0,1
04435420,6,2,4,0,3,2,1,0,0
04435505,4,2,2,0,1,1,0,0,1
04435975,25,3,22,0,2,1,1,2,1
04436497,7,1,6,0,1,1,0,0,1
04438082,27,3,24,0,2,1,1,2,1
04438337,7,2,5,0,1,1,0,0,1
04438887,59,14,45,0,0,0,0,0,1
04438973,4,0,4,0,0,0,0,0,1
04439363,6,2,4,0,2,2,0,0,1
04439737,15,4,11,0,1,1,0,1,1
04439855,30,0,30,0,0,0,0,0,1
04439914,7,0,7,0,0,0,0,0,1
04440240,13,1,12,0,0,0,0,0,1
04440622,10,2,8,0,1,1,0,1,1
04440625,7,0,7,0,1,1,0,0,0
04442143,9,2,7,0,1,1,0,1,1
04442665,10,2,8,0,1,1,0,0,1
04442666,10,2,8,0,1,1,0,0,1
04442702,5,0,5,0,0,0,0,0,1
04442969,24,0,24,0,0,0,0,0,1
04443341,7,4,3,0,1,1,0,1,0
04444443,11,0,11,0,1,1,0,1,1
04444664,14,4,10,0,0,0,0,0,0
04444960,4,2,2,0,1,1,0,0,1
04445552,7,3,4,0,1,1,0,0,0
04445562,7,0,7,0,0,0,0,0,1
04446148,5,1,4,0,2,2,0,0,0
04447008,26,2,24,0,1,1,0,1,1
04447594,6,3,3,0,1,1,0,1,0
04448044,6,1,5,0,3,3,0,1,0
04448062,9,3,6,0,2,2,0,0,1
04448391,9,3,6,0,1,1,0,1,1
04448756,7,2,5,0,0,0,0,0,0
04449118,5,2,3,0,2,2,0,0,0
04449208,11,0,11,0,0,0,0,0,1
04449543,20,3,17,0,0,0,0,0,1
04449627,6,0,6,0,1,1,0,0,0
04450226,8,3,5,0,2,1,1,1,0
04450788,16,5,11,0,0,0,0,0,0
04451505,9,2,7,0,1,1,0,1,1
04452442,4,1,3,0,1,1,0,0,0
04452808,30,4,26,0,1,1,0,1,1
04453584,8,3,5,0,1,0,1,0,0
04455203,6,5,1,0,1,1,0,0,0
04456380,4,2,2,0,1,1,0,0,0
04456529,4,2,2,0,1,1,0,0,1
04457280,5,2,3,0,1,1,0,0,1
04457463,5,3,2,0,1,1,0,0,1
04457859,6,2,4,0,1,1,0,0,1
04458459,9,3,6,0,2,1,1,0,1
04459443,21,3,18,0,1,1,0,1,1
04459492,4,2,2,0,1,1,0,0,1
04460625,15,0,15,0,1,1,0,1,1
04460630,5,3,2,0,2,2,0,0,1
04461275,14,5,9,0,1,1,0,1,1
04461359,7,3,4,0,1,1,0,0,1
04462587,12,3,9,0,2,2,0,0,0
04463308,5,3,2,0,2,2,0,0,1
04463786,6,2,4,0,2,2,0,0,1
04464232,8,1,7,0,1,1,0,0,1
04464547,5,3,2,0,1,1,0,0,0
04464549,6,2,4,0,1,1,0,1,1
04465503,16,2,14,0,1,1,0,1,1
04466571,26,6,20,0,1,1,0,0,1
04466911,24,3,21,0,3,3,0,3,1
04469304,8,2,6,0,0,0,0,0,1
04469487,6,3,3,0,1,1,0,0,0
04470064,57,11,46,0,0,0,0,0,0
04470699,7,0,7,0,1,1,0,0,1
04471316,21,8,13,0,0,0,0,0,0
04471593,19,1,18,0,0,0,0,0,1
04471594,16,4,12,0,1,1,0,0,1
04471823,6,0,6,0,0,0,0,0,1
04471825,17,0,17,0,0,0,0,0,1
04471826,12,3,9,0,1,1,0,1,1
04472361,3,1,2,0,1,1,0,0,1
04472442,16,2,14,0,1,1,0,1,1
04472446,18,0,18,0,1,1,0,1,1
04473379,8,4,4,0,2,2,0,0,1
04473845,5,0,5,0,1,1,0,0,0
04475393,5,3,2,0,1,1,0,0,0
04476540,17,3,14,0,1,1,0,1,1
04476558,41,14,27,0,3,2,1,0,1
04476633,6,2,4,0,1,1,0,0,0
04476843,10,1,9,0,1,1,0,1,1
04477641,10,3,7,0,2,2,0,0,1
04477725,7,3,4,0,1,1,0,0,0
04478333,5,3,2,0,2,2,0,0,0
04478534,12,0,12,0,0,0,0,0,1
04478844,19,3,16,0,0,0,0,0,1
04479600,5,3,2,0,4,4,0,0,0
04479652,6,3,3,0,1,1,0,0,0
04480074,5,3,2,0,2,2,0,0,0
04480485,42,5,37,0,6,4,2,0,0
04480729,5,3,2,0,2,2,0,0,0
04480862,4,2,2,0,1,1,0,0,0
04480920,4,0,4,0,1,1,0,0,0
04481317,12,0,12,0,0,0,0,0,1
04481334,11,0,11,0,0,0,0,0,1
04481547,2,2,0,0,0,0,0,0,1
04482195,5,0,5,0,0,0,0,0,1
04482330,5,3,2,0,0,0,0,0,0
04483634,5,2,3,0,1,1,0,0,1
04483755,35,14,21,0,0,0,0,0,0
04484761,6,3,3,0,2,2,0,0,0
04485592,15,0,15,0,0,0,0,0,1
04485855,4,2,2,0,1,1,0,0,0
04485945,24,7,17,0,11,7,4,0,0
04488255,10,4,6,0,1,1,0,0,1
04489789,7,0,7,0,0,0,0,0,1
04489884,6,2,4,0,1,1,0,0,0
04490405,11,0,11,0,0,0,0,0,0
04491006,9,2,7,0,2,2,0,0,1
04491125,15,4,11,0,2,2,0,0,1
04491145,16,4,12,0,2,2,0,0,1
04491170,15,4,11,0,2,2,0,0,1
04491178,16,4,12,0,2,2,0,0,1
04491501,5,2,3,0,2,2,0,0,0
04491717,6,0,6,0,2,2,0,0,1
04491869,10,4,6,0,1,1,0,1,1
04492893,5,2,3,0,1,1,0,1,0
04493899,4,2,2,0,1,1,0,0,0
01580284,68,4,64,0,1,1,0,1,1
01581770,41,3,38,0,0,0,0,0,0
01581935,56,5,51,0,1,1,0,1,1
01583814,25,4,21,0,1,1,0,1,1
01584188,31,4,27,0,1,1,0,1,1
01584796,19,3,16,0,1,1,0,1,1
01585283,62,0,62,0,0,0,0,0,1
01587907,18,7,11,0,0,0,0,0,1
01587922,75,7,68,0,3,2,1,0,1
01588286,41,6,35,0,1,1,0,1,1
01588900,21,4,17,0,2,1,1,2,1
01589824,18,2,16,0,1,1,0,1,1
01591100,40,5,35,0,1,1,0,1,1
01592083,20,2,18,0,1,1,0,1,1
01593332,4,4,0,0,2,2,0,0,0
01593648,20,7,13,0,1,1,0,0,1
01593981,25,2,23,0,1,1,0,1,1
01595106,13,4,9,0,0,0,0,0,0
01597315,21,3,18,0,0,0,0,0,1
01597647,12,0,12,0,0,0,0,0,1
01597931,43,4,39,0,1,1,0,1,1
01597972,12,4,8,0,1,1,0,1,0
01600480,8,2,6,0,2,2,0,0,0
01601181,16,3,13,0,1,1,0,1,1
01601297,20,3,17,0,1,1,0,1,1
01601691,22,2,20,0,1,1,0,1,1
01602662,32,6,26,0,0,0,0,0,1
01603650,0,0,0,0,0,0,0,0,0
01604930,60,10,50,0,1,1,0,1,1
01605533,5,1,4,0,1,1,0,1,1
01606391,34,3,31,0,1,1,0,1,1
01606623,28,8,20,0,0,0,0,0,0
01606737,14,3,11,0,1,1,0,1,1
01607198,16,1,15,0,1,1,0,1,1
01607372,25,0,25,0,1,1,0,1,1
01607787,22,4,18,0,1,1,0,1,1
01608727,28,3,25,0,1,1,0,1,1
01611448,22,0,22,0,0,0,0,0,1
01615593,19,6,13,0,0,0,0,0,1
01618226,12,5,7,0,2,1,1,1,1
01618677,44,3,41,0,1,1,0,1,1
01618685,43,3,40,0,1,1,0,1,1
01618825,16,1,15,0,2,1,1,0,0
01621244,4,2,2,0,1,1,0,0,0
01622531,22,6,16,0,1,1,0,1,1
01623766,60,3,57,0,1,1,0,1,1
01626190,7,3,4,0,2,2,0,0,0
01626992,12,2,10,0,1,1,0,0,0
01627471,35,3,32,0,1,1,0,1,1
01628523,25,3,22,0,1,1,0,1,1
01628541,3,3,0,0,2,2,0,0,0
01629484,32,5,27,0,3,0,3,0,0
01630349,10,0,10,0,0,0,0,0,1
01633042,39,3,36,0,1,1,0,1,1
01633951,29,6,23,0,0,0,0,0,1
01635024,47,6,41,0,4,4,0,0,1
01636136,15,0,15,0,1,1,0,1,1
01636570,16,4,12,0,1,1,0,0,1
01636921,5,3,2,0,1,1,0,0,0
01638742,14,3,11,0,1,1,0,1,1
01639557,27,4,23,0,1,1,0,1,1
01640181,16,2,14,0,1,1,0,0,1
01640958,1,1,0,0,0,0,0,0,1
01641088,40,0,40,0,0,0,0,0,1
01641968,58,9,49,0,0,0,0,0,0
01643943,13,3,10,0,3,3,0,1,0
01645444,31,0,31,0,1,1,0,1,1
01646146,32,7,25,0,0,0,0,0,1
01647162,32,0,32,0,0,0,0,0,1
01648115,17,4,13,0,2,2,0,2,1
01648208,6,3,3,0,1,1,0,0,0
01648435,29,12,17,0,0,0,0,0,0
01649615,7,2,5,0,2,2,0,0,0
01650215,22,0,22,0,1,1,0,1,1
01650657,8,2,6,0,1,1,0,0,1
01650840,25,0,25,0,0,0,0,0,1
01651257,9,5,4,0,1,1,0,0,0
01652213,21,5,16,0,1,1,0,0,1
01653331,42,8,34,0,1,1,0,1,1
01656023,13,2,11,0,1,1,0,1,1
01657022,6,2,4,0,2,2,0,0,0
01657318,23,5,18,0,1,1,0,1,1
01657550,6,1,5,0,1,1,0,0,0
01657562,5,4,1,0,3,3,0,0,0
01658371,32,2,30,0,2,2,0,2,0
01660784,48,9,39,0,1,1,0,1,1
01661244,7,5,2,0,2,2,0,0,1
01661686,31,17,14,0,1,1,0,1,1
01663694,49,4,45,0,0,0,0,0,1
01664296,19,4,15,0,5,4,1,1,1
01666333,40,4,36,0,1,1,0,1,1
01666751,100,8,92,0,0,0,0,0,1
01668014,15,0,15,0,0,0,0,0,1
01668015,8,0,8,0,0,0,0,0,1
01669515,17,4,13,0,6,6,0,0,1
01671355,25,6,19,0,1,1,0,1,1
01672983,15,2,13,0,1,1,0,0,0
01673457,0,0,0,0,0,0,0,0,0
01677155,26,10,16,0,0,0,0,0,0
01679488,41,3,38,0,1,1,0,1,1
01679995,3,3,0,0,1,1,0,0,1
01682230,5,5,0,0,2,2,0,0,0
01684544,4,1,3,0,1,1,0,0,0
01685094,23,4,19,0,1,1,0,1,1
01686164,92,8,84,0,0,0,0,0,1
01687154,8,0,8,0,0,0,0,0,1
01687590,52,5,47,0,1,1,0,1,1
01687652,31,0,31,0,1,1,0,1,1
01688958,10,3,7,0,1,1,0,0,1
01689098,23,0,23,0,0,0,0,0,1
01690525,26,4,22,0,0,0,0,0,1
01690936,24,0,24,0,1,1,0,1,1
01690975,18,0,18,0,0,0,0,0,1
01691431,58,5,53,0,1,1,0,1,1
01691472,59,5,54,0,1,1,0,1,1
01691818,21,5,16,0,0,0,0,0,1
01693088,20,4,16,0,1,1,0,1,1
01694712,56,9,47,0,0,0,0,0,1
01695813,18,6,12,0,1,1,0,1,1
01696917,20,3,17,0,1,1,0,1,1
01697461,107,13,94,0,0,0,0,0,1
01698056,20,2,18,0,0,0,0,0,0
01698399,41,14,27,0,0,0,0,0,1
01698409,43,11,32,0,1,1,0,1,1
01698962,5,3,2,0,1,1,0,1,1
01699246,24,3,21,0,1,1,0,1,1
01701276,4,2,2,0,2,2,0,0,0
01701634,11,6,5,0,1,1,0,0,1
01701757,4,3,1,0,2,2,0,0,1
01702816,75,6,69,0,0,0,0,0,1
01704111,36,3,33,0,1,1,0,1,1
01704776,36,4,32,0,0,0,0,0,0
01705520,15,5,10,0,2,1,1,0,1
01705689,28,2,26,0,1,1,0,1,0
01709017,20,3,17,0,1,1,0,1,1
01709532,8,5,3,0,0,0,0,0,0
01710702,5,2,3,0,1,1,0,0,1
01712782,10,3,7,0,1,1,0,1,1
01719860,15,5,10,0,3,3,0,0,1
01721406,21,5,16,0,1,1,0,1,1
01725755,16,3,13,0,1,1,0,1,1
01725815,23,6,17,0,0,0,0,0,0
01728967,18,2,16,0,1,1,0,1,1
01729478,51,8,43,0,0,0,0,0,1
01729710,15,0,15,0,0,0,0,0,1
01730997,28,5,23,0,1,1,0,1,1
01732518,46,4,42,0,1,1,0,1,1
01734159,3,3,0,0,1,1,0,0,0
01737587,34,3,31,0,1,1,0,1,1
01737813,19,3,16,0,1,1,0,1,1
01738249,20,5,15,0,0,0,0,0,1
01738934,36,0,36,0,0,0,0,0,1
01739581,8,2,6,0,1,1,0,1,1
01741450,9,6,3,0,1,1,0,0,1
01741741,13,6,7,0,1,1,0,0,1
01742404,25,6,19,0,1,1,0,1,1
01743307,14,2,12,0,2,2,0,1,1
01744913,26,3,23,0,1,1,0,1,1
01747066,41,8,33,0,1,1,0,0,0
01747139,6,5,1,0,1,1,0,0,0
01748848,15,5,10,0,1,1,0,0,0
01751817,8,3,5,0,2,2,0,0,1
01752109,5,3,2,0,2,2,0,0,0
01754715,12,2,10,0,1,1,0,1,0
01757157,40,5,35,0,1,1,0,1,1
01759876,59,9,50,0,1,1,0,0,0
01762083,21,4,17,0,0,0,0,0,0
01763136,3,3,0,0,1,1,0,0,0
01764397,9,3,6,0,0,0,0,0,0
01766310,38,2,36,0,1,1,0,1,1
01768014,19,4,15,0,1,1,0,1,1
01768508,34,0,34,0,0,0,0,0,1
01769664,6,3,3,0,1,1,0,1,0
01769690,26,4,22,0,1,1,0,1,1
01770170,11,2,9,0,1,1,0,0,0
01770494,15,7,8,0,0,0,0,0,0
01771172,38,3,35,0,2,2,0,2,1
01776848,38,3,35,0,1,1,0,1,1
01777297,4,2,2,0,1,1,0,0,1
01777777,49,7,42,0,2,2,0,2,1
01778189,14,4,10,0,1,1,0,1,1
01778879,53,6,47,0,0,0,0,0,0
01780264,22,0,22,0,0,0,0,0,1
01781138,16,6,10,0,1,1,0,1,1
01781246,20,5,15,0,0,0,0,0,1
01781725,28,0,28,0,0,0,0,0,1
01782132,23,6,17,0,1,1,0,0,1
01782527,23,3,20,0,1,1,0,1,1
01783300,33,3,30,0,2,2,0,2,1
01784086,24,3,21,0,4,3,1,1,1
01788531,11,5,6,0,0,0,0,0,0
01791760,93,20,73,0,0,0,0,0,1
01792921,43,9,34,0,0,0,0,0,1
01793193,78,12,66,0,0,0,0,0,0
01795123,4,3,1,0,2,2,0,0,1
01795572,43,0,43,0,0,0,0,0,1
01795732,291,4,287,0,1,1,0,1,1
01796345,73,5,68,0,0,0,0,0,0
01796367,29,5,24,0,1,0,1,1,1
01796928,78,9,69,0,0,0,0,0,1
01797055,21,0,21,0,0,0,0,0,1
01798114,35,3,32,0,1,1,0,1,1
01798992,13,1,12,0,4,2,2,1,1
01805705,28,4,24,0,4,4,0,0,0
01806047,39,14,25,0,0,0,0,0,1
01806531,27,4,23,0,1,1,0,1,1
01809098,32,0,32,0,0,0,0,0,1
01810489,15,3,12,0,1,1,0,1,1
01811310,17,0,17,0,1,1,0,1,0
01812127,49,3,46,0,1,1,0,1,1
01812169,17,5,12,0,1,1,0,1,1
01812610,32,5,27,0,1,1,0,1,1
01814110,33,6,27,0,0,0,0,0,0
01814558,14,4,10,0,1,1,0,0,1
01815730,22,3,19,0,1,1,0,1,1
01816502,13,0,13,0,0,0,0,0,1
01820528,9,0,9,0,1,1,0,1,1
01821310,28,10,18,0,1,1,0,0,0
01826136,4,3,1,0,1,1,0,0,0
01826602,94,12,82,0,0,0,0,0,0
01827284,6,4,2,0,1,1,0,1,0
01828491,6,2,4,0,1,1,0,0,0
01828642,27,3,24,0,1,1,0,1,1
01830148,12,2,10,0,2,2,0,0,1
01835021,20,9,11,0,1,1,0,1,0
01835151,27,0,27,0,0,0,0,0,1
01835691,57,11,46,0,1,1,0,1,1
01837292,24,0,24,0,1,1,0,1,1
01838229,22,3,19,0,1,1,0,1,1
01838445,23,0,23,0,1,1,0,1,1
01838522,8,0,8,0,0,0,0,0,1
01838573,20,0,20,0,1,1,0,1,1
01841697,54,5,49,0,1,1,0,1,1
01841906,16,6,10,0,0,0,0,0,1
01842252,37,3,34,0,1,1,0,1,1
01842254,56,8,48,0,1,1,0,1,1
01843811,8,2,6,0,2,2,0,1,0
01846804,25,5,20,0,1,1,0,1,1
01848309,70,10,60,0,0,0,0,0,1
01854132,48,7,41,0,1,1,0,1,1
01856580,39,7,32,0,11,6,5,0,1
01858790,52,2,50,0,3,3,0,3,1
01860027,0,0,0,0,0,0,0,0,0
01860163,31,0,31,0,1,1,0,1,1
01860196,13,0,13,0,0,0,0,0,1
01861710,12,2,10,0,1,1,0,0,0
01862328,16,3,13,0,1,1,0,1,1
01862440,22,0,22,0,1,1,0,1,1
01863660,0,0,0,0,0,0,0,0,0
01867091,5,3,2,0,1,1,0,0,0
00741624,39,5,34,0,1,1,0,1,1
00741937,8,3,5,0,1,1,0,0,0
00744369,26,3,23,0,1,1,0,1,1
00744398,6,2,4,0,1,1,0,0,0
00745398,192,34,158,0,0,0,0,0,1
00745917,41,6,35,0,1,1,0,1,1
00746571,2,1,1,0,0,0,0,0,1
00749317,33,4,29,0,1,1,0,1,1
00749645,63,6,57,0,0,0,0,0,1
00752321,3,2,1,0,1,1,0,0,0
00752569,14,7,7,0,3,3,0,0,1
00753110,25,5,20,0,1,1,0,1,1
00753340,49,5,44,0,1,1,0,1,1
00753648,53,13,40,0,0,0,0,0,0
00755944,31,5,26,0,1,1,0,1,1
00758966,35,0,35,0,0,0,0,0,1
00759241,4,0,4,0,1,1,0,0,0
00760475,8,2,6,0,0,0,0,0,0
00761149,89,0,89,0,0,0,0,0,1
00767573,3,3,0,0,1,1,0,0,0
00770086,11,4,7,0,1,1,0,0,0
00770781,9,4,5,0,3,3,0,0,0
00771335,19,8,11,0,0,0,0,0,1
00772318,279,5,274,0,0,0,0,0,1
00774062,16,0,16,0,1,1,0,1,1
00774336,15,4,11,0,3,3,0,1,0
00774883,11,5,6,0,1,1,0,1,0
00776338,29,0,29,0,1,1,0,1,1
00776582,8,2,6,0,1,1,0,1,0
00777576,7,4,3,0,2,2,0,0,0
00777705,34,0,34,0,0,0,0,0,1
00778398,46,4,42,0,1,1,0,1,1
00779528,14,4,10,0,2,2,0,0,0
00782546,44,6,38,0,0,0,0,0,1
00783757,6,5,1,0,4,4,0,0,0
00784555,2,2,0,0,1,1,0,0,0
00785488,44,0,44,0,0,0,0,0,0
00786308,6,2,4,0,1,1,0,0,0
00788617,20,5,15,0,1,1,0,1,1
00791766,132,2,130,0,0,0,0,0,1
00792220,3,2,1,0,1,1,0,1,0
00792822,3,3,0,0,2,2,0,1,0
00793447,5,2,3,0,3,3,0,0,0
00796740,23,3,20,0,2,1,1,2,1
00797195,13,3,10,0,1,1,0,1,0
00797472,3,1,2,0,2,2,0,0,0
00799179,0,0,0,0,0,0,0,0,0
00799263,23,0,23,0,1,1,0,1,1
00800311,31,5,26,0,1,1,0,1,1
00802706,11,3,8,0,1,1,0,1,0
00803059,6,2,4,0,2,2,0,0,0
00803241,36,0,36,0,1,1,0,1,1
00807834,7,5,2,0,1,1,0,1,0
00808245,25,0,25,0,0,0,0,0,1
00812470,8,0,8,0,0,0,0,0,1
00821959,4,2,2,0,1,1,0,0,0
00822558,16,0,16,0,0,0,0,0,1
00823988,97,24,73,0,0,0,0,0,1
00824422,13,4,9,0,1,1,0,0,0
00824951,31,5,26,0,1,1,0,1,1
00825154,6,2,4,0,1,1,0,0,0
00825522,4,3,1,0,3,3,0,0,0
00827389,6,3,3,0,1,1,0,0,0
00827982,140,11,129,0,1,1,0,1,1
00829109,11,5,6,0,1,1,0,0,0
00830519,11,8,3,0,0,0,0,0,0
00831817,38,0,38,0,0,0,0,0,1
00832799,7,4,3,0,2,2,0,0,0
00834213,5,3,2,0,1,1,0,0,0
00835358,4,2,2,0,2,2,0,0,0
00835372,5,3,2,0,1,1,0,1,0
00836184,8,4,4,0,5,5,0,2,0
00836481,26,3,23,0,0,0,0,0,1
00838308,32,5,27,0,1,1,0,1,1
00840520,6,4,2,0,1,1,0,0,0
00841210,6,3,3,0,1,1,0,0,0
00841421,22,2,20,0,1,1,0,1,1
00843327,131,17,114,0,0,0,0,0,0
00846150,18,0,18,0,1,1,0,1,1
00846152,8,3,5,0,1,1,0,0,0
00849435,6,3,3,0,2,2,0,1,0
00849553,33,2,31,0,2,1,1,2,1
00852647,8,3,5,0,1,1,0,0,0
00854919,1,0,1,0,0,0,0,0,0
00855389,11,3,8,0,3,3,0,1,0
00856222,36,15,21,0,1,1,0,0,1
00857498,3,0,3,0,2,2,0,0,0
00857700,49,14,35,0,0,0,0,0,0
00859087,22,5,17,0,1,1,0,1,1
00860235,21,5,16,0,1,1,0,1,1
00860702,182,9,173,0,0,0,0,0,1
00863087,28,3,25,0,2,2,0,2,1
00864925,7,3,4,0,1,1,0,1,1
00865402,39,4,35,0,2,1,1,2,1
00866396,97,5,92,0,8,4,4,0,0
00866461,6,3,3,0,0,0,0,0,0
00867637,18,4,14,0,1,0,1,1,1
00870199,50,5,45,0,1,1,0,1,1
00870262,40,6,34,0,1,1,0,1,1
00870425,20,3,17,0,2,2,0,2,1
00871669,43,7,36,0,1,1,0,1,1
00871965,22,5,17,0,1,1,0,1,1
00872828,67,13,54,0,1,1,0,1,1
00874618,26,4,22,0,2,1,1,2,1
00874639,41,5,36,0,1,1,0,1,1
00876811,33,9,24,0,0,0,0,0,1
00877991,7,5,2,0,5,5,0,0,0
00878006,29,3,26,0,1,1,0,1,1
00878611,12,3,9,0,0,0,0,0,0
00878804,118,10,108,0,0,0,0,0,0
00878934,56,21,35,0,0,0,0,0,0
00881518,18,0,18,0,0,0,0,0,1
00881605,23,0,23,0,0,0,0,0,1
00882644,16,0,16,0,1,1,0,1,1
00883021,34,5,29,0,2,2,0,2,1
00885699,32,0,32,0,0,0,0,0,1
00885913,6,0,6,0,0,0,0,0,0
00886182,0,0,0,0,0,0,0,0,0
00887808,37,4,33,0,1,1,0,1,1
00889424,50,12,38,0,0,0,0,0,1
00891935,24,6,18,0,2,1,1,2,1
00892716,6,2,4,0,1,1,0,0,0
00893197,5,3,2,0,1,1,0,0,0
00894552,13,4,9,0,1,1,0,0,0
00894638,35,3,32,0,1,1,0,1,1
00897489,7,3,4,0,1,1,0,1,1
00898166,72,6,66,0,1,1,0,1,1
00898687,22,7,15,0,1,1,0,0,0
00900529,25,3,22,0,1,1,0,1,1
00900811,15,4,11,0,0,0,0,0,1
00901063,33,14,19,0,0,0,0,0,0
00901282,33,7,26,0,1,1,0,1,1
00902624,34,6,28,0,0,0,0,0,0
00906355,106,4,102,0,1,1,0,1,1
00906511,10,6,4,0,1,1,0,1,1
00907452,8,0,8,0,0,0,0,0,1
00907949,29,4,25,0,2,1,1,0,1
00908396,57,4,53,0,1,1,0,1,1
00910355,31,5,26,0,1,1,0,1,1
00910564,6,3,3,0,2,2,0,0,0
00910829,14,3,11,0,1,1,0,1,1
00911924,79,16,63,0,0,0,0,0,1
00912022,41,10,31,0,0,0,0,0,1
00912624,42,6,36,0,2,2,0,2,1
00913062,37,10,27,0,0,0,0,0,0
00914413,6,2,4,0,1,1,0,0,0
00914422,28,0,28,0,0,0,0,0,1
00919424,19,4,15,0,1,1,0,1,1
00920943,5,3,2,0,2,2,0,0,0
00921417,36,4,32,0,0,0,0,0,1
00921909,64,18,46,0,0,0,0,0,1
00924318,33,5,28,0,1,1,0,1,1
00925279,178,9,169,0,1,1,0,1,1
00926655,40,2,38,0,1,1,0,1,1
00926785,37,1,36,0,1,1,0,1,1
00927601,9,0,9,0,2,2,0,0,1
00927680,43,7,36,0,0,0,0,0,1
00928922,25,3,22,0,1,1,0,1,1
00929139,7,4,3,0,0,0,0,0,1
00930144,12,4,8,0,1,1,0,1,1
00930931,6,3,3,0,1,1,0,0,0
00931036,2,1,1,0,0,0,0,0,1
00931322,16,5,11,0,1,1,0,1,1
00932632,0,0,0,0,0,0,0,0,0
00932738,4,3,1,0,1,1,0,1,0
00934454,9,3,6,0,0,0,0,0,0
00935048,26,4,22,0,2,2,0,2,1
00935973,6,3,3,0,3,3,0,2,1
00936052,33,0,33,0,0,0,0,0,0
00937007,5,3,2,0,2,2,0,0,0
00937964,6,3,3,0,0,0,0,0,0
00938592,62,11,51,0,0,0,0,0,1
00938798,39,0,39,0,1,1,0,1,1
00939510,30,8,22,0,0,0,0,0,1
00940631,91,8,83,0,2,1,1,0,0
00941082,72,4,68,0,1,1,0,1,1
00941405,48,4,44,0,1,1,0,1,1
00941519,22,3,19,0,1,1,0,1,1
00941599,15,3,12,0,1,1,0,1,1
00945878,25,2,23,0,2,1,1,2,0
00946858,13,3,10,0,1,1,0,1,1
00946978,37,6,31,0,1,1,0,1,1
00947080,9,4,5,0,2,2,0,0,0
00947098,34,4,30,0,1,1,0,1,1
00947106,5,2,3,0,0,0,0,0,1
00947662,51,12,39,0,1,1,0,1,1
00947866,9,3,6,0,1,1,0,1,1
00948298,40,8,32,0,2,2,0,1,1
00948978,53,10,43,0,2,2,0,2,1
00949328,7,3,4,0,1,1,0,1,1
00949417,113,7,106,0,1,1,0,1,1
00951093,29,5,24,0,1,1,0,1,1
00952132,12,5,7,0,0,0,0,0,1
00953026,8,0,8,0,0,0,0,0,1
00955661,14,3,11,0,1,1,0,1,1
00955888,30,4,26,0,1,1,0,1,1
00955957,67,9,58,0,1,1,0,1,1
00956098,27,0,27,0,1,1,0,1,1
00956195,15,0,15,0,0,0,0,0,1
00958286,3,3,0,0,2,2,0,0,0
00958313,22,0,22,0,0,0,0,0,1
00958986,39,10,29,0,1,1,0,0,1
00959045,44,1,43,0,0,0,0,0,1
00959082,51,6,45,0,2,2,0,2,1
00959543,13,5,8,0,1,1,0,1,1
00960343,59,2,57,0,1,1,0,1,1
00961209,32,0,32,0,0,0,0,0,1
00964140,5,2,3,0,1,1,0,0,0
00964908,5,3,2,0,3,3,0,0,0
00966676,23,0,23,0,0,0,0,0,1
00967447,7,3,4,0,1,1,0,1,0
00968007,32,0,32,0,0,0,0,0,1
00969373,32,0,32,0,1,1,0,1,1
00970105,5,4,1,0,1,1,0,0,0
00970812,40,5,35,0,1,1,0,1,1
00971448,68,4,64,0,1,1,0,1,1
00972265,39,10,29,0,1,1,0,1,1
00972694,96,6,90,0,0,0,0,0,0
00973091,24,0,24,0,1,1,0,1,1
00974633,16,5,11,0,1,1,0,0,1
00975756,20,5,15,0,1,1,0,1,1
00976167,19,0,19,0,0,0,0,0,1
00977646,5,5,0,0,3,3,0,0,1
00978228,5,4,1,0,6,6,0,0,1
00979108,28,5,23,0,1,1,0,1,1
00979395,60,4,56,0,2,2,0,1,1
00979845,2,2,0,0,2,2,0,0,0
00980152,40,11,29,0,0,0,0,0,0
00981908,115,20,95,0,0,0,0,0,1
00982833,52,5,47,0,1,1,0,1,1
00983571,16,1,15,0,1,1,0,1,1
00984642,6,4,2,0,2,2,0,0,0
00984972,8,5,3,0,2,2,0,0,0
00985685,28,8,20,0,0,0,0,0,0
00987950,18,4,14,0,1,1,0,1,0
00988645,14,5,9,0,0,0,0,0,0
00988671,15,2,13,0,1,1,0,1,1
00988857,27,5,22,0,2,2,0,0,1
00989459,28,5,23,0,1,1,0,1,1
00992512,12,4,8,0,0,0,0,0,0
00992943,6,1,5,0,1,1,0,0,0
00995419,26,3,23,0,1,1,0,1,1
